token	pos	lemma
./abreu1856.txt:momento	NOM	momento
./abreu1856.txt:cumprimento	NOM	cumprimento
./abreu1856.txt:firmamento	NOM	firmamento
./abreu1856.txt:pressentimento	NOM	pressentimento
./abreu1856.txt:pensamento	NOM	pensamento
./abreu1856.txt:arrependimento	NOM	arrependimento
./abreu1856.txt:arrependimento	NOM	arrependimento
./abreu1856.txt:passamento	NOM	passamento
./abreu1856.txt:pensamento	NOM	pensamento
./aires1752.txt:pensamento	NOM	pensamento
./aires1752.txt:conhecimento	NOM	conhecimento
./aires1752.txt:desvanecimento	NOM	desvanecimento
./aires1752.txt:esquecimento	NOM	esquecimento
./aires1752.txt:pensamento	NOM	pensamento
./aires1752.txt:instrumento	NOM	instrumento
./aires1752.txt:esquecimento	NOM	esquecimento
./aires1752.txt:movimento	NOM	movimento
./aires1752.txt:entendimento	NOM	entendimento
./aires1752.txt:pensamento	NOM	pensamento
./aires1752.txt:entendimento	NOM	entendimento
./aires1752.txt:conhecimento	NOM	conhecimento
./aires1752.txt:quéntendimento	NOM	<unknown>
./aires1752.txt:entendimento	NOM	entendimento
./aires1752.txt:entendimento	NOM	entendimento
./aires1752.txt:entendimento	NOM	entendimento
./aires1752.txt:entendimento	NOM	entendimento
./aires1752.txt:entendimento	NOM	entendimento
./aires1752.txt:entendimento	NOM	entendimento
./aires1752.txt:entendimento	NOM	entendimento
./aires1752.txt:entendimento	NOM	entendimento
./aires1752.txt:entendimento	NOM	entendimento
./aires1752.txt:entendimento	NOM	entendimento
./aires1752.txt:entendimento	NOM	entendimento
./aires1752.txt:entendimento	NOM	entendimento
./aires1752.txt:pensamento	NOM	pensamento
./aires1752.txt:entendimento	NOM	entendimento
./aires1752.txt:entendimento	NOM	entendimento
./aires1752.txt:sentimento	NOM	sentimento
./aires1752.txt:sentimento	NOM	sentimento
./aires1752.txt:entendimento	NOM	entendimento
./aires1752.txt:entendimento	NOM	entendimento
./aires1752.txt:temperamento	NOM	temperamento
./aires1752.txt:pensamento	NOM	pensamento
./aires1752.txt:momento	NOM	momento
./aires1752.txt:sofrimento	NOM	sofrimento
./aires1752.txt:esquecimento	NOM	esquecimento
./aires1752.txt:sentimento	NOM	sentimento
./aires1752.txt:conhecimento	NOM	conhecimento
./aires1752.txt:atrevimento	NOM	atrevimento
./aires1752.txt:sentimento	NOM	sentimento
./aires1752.txt:tormento	NOM	tormento
./aires1752.txt:sentimento	NOM	sentimento
./aires1752.txt:entendimento	NOM	entendimento
./aires1752.txt:pensamento	NOM	pensamento
./aires1752.txt:luzimento	NOM	luzimento
./aires1752.txt:sentimento	NOM	sentimento
./aires1752.txt:conhecimento	NOM	<unknown>
./aires1752.txt:pensamento	NOM	pensamento
./aires1752.txt:abatimento	NOM	abatimento
./aires1752.txt:contentamento	NOM	contentamento
./aires1752.txt:sentimento	NOM	<unknown>
./aires1752.txt:entendimento	NOM	entendimento
./aires1752.txt:pensamento	NOM	pensamento
./aires1752.txt:entendimento	NOM	entendimento
./aires1752.txt:entendimento	NOM	entendimento
