	word	freq
0	educação	51
1	conservação	26
2	conhecimento	25
3	juramento	23
4	obrigação	21
5	edição	11
6	consentimento	11
7	constituição	9
8	entendimento	8
9	instituição	7
10	instrução	6
11	estabelecimento	6
12	dissolução	6
13	rendimento	5
14	disposição	5
15	geração	4
16	destruição	4
17	criação	4
18	navegação	4
19	distinção	4
20	aplicação	4
21	nacimento	4
22	imitação	3
23	subordinação	3
24	merecimento	3
25	conversação	3
26	participação	2
27	movimento	2
28	assentamento	2
29	distribuição	2
30	renovação	2
31	abatimento	2
32	veneração	2
33	acção	2
34	aprovação	2
35	esquecimento	2
36	consideração	2
37	inspecção	2
38	elevação	2
39	regimento	2
40	instrucção	2
41	explicação	2
42	execução	2
43	creiação	2
44	publicação	2
45	admiração	2
46	pensamento	2
47	reprodução	2
48	fundação	2
49	requirimento	2
50	introdução	2
51	destinação	2
52	resolução	2
53	circulação	1
54	indicação	1
55	descripção	1
56	separação	1
57	ocupação	1
58	composição	1
59	expedição	1
60	administração	1
61	contestação	1
62	legislação	1
63	agitação	1
64	continuação	1
65	adiantamento	1
66	persecução	1
67	tratamento	1
68	aproveitamento	1
69	distincção	1
70	corrupção	1
71	supplemento	1
72	adulação	1
73	observação	1
74	designação	1
75	colocação	1
76	recolhimento	1
77	contradição	1
78	encadeamento	1
79	colaboração	1
80	preparação	1
81	inquizição	1
82	dominação	1
83	atrevimento	1
84	uzurpação	1
85	especificação	1
86	excepção	1
87	percepção	1
88	ilustração	1
89	comunicação	1
90	congregação	1
91	ajuntamento	1
92	privação	1
93	protecção	1
94	õbrigação	1
95	correção	1
96	requerimento	1
97	inovação	1
98	meditação	1
99	colecção	1
100	introducção	1
101	proposição	1
102	desolação	1
103	levantamento	1
