	word	freq
0	resolução	397
1	imaginação	385
2	educação	358
3	obrigação	335
4	oração	323
5	admiração	318
6	conversação	284
7	assunção	220
8	disposição	214
9	explicação	212
10	consideração	193
11	salvação	189
12	consolação	186
13	devoção	185
14	indignação	181
15	eleição	176
16	separação	159
17	geração	148
18	reputação	144
19	inclinação	143
20	conservação	143
21	preocupação	137
22	civilização	137
23	aflição	136
24	dedicação	135
25	execução	127
26	proteção	125
27	invenção	121
28	criação	120
29	tenção	120
30	observação	118
31	narração	117
32	instrução	117
33	contemplação	117
34	agitação	116
35	oposição	115
36	expedição	115
37	distinção	109
38	repartição	104
39	respiração	103
40	acção	102
41	traição	101
42	resignação	100
43	composição	100
44	ocupação	95
45	representação	95
46	revelação	95
47	declaração	93
48	emancipação	92
49	tentação	89
50	comparação	86
51	humilhação	83
52	inspiração	83
53	inquietação	82
54	intervenção	81
55	imitação	80
56	aplicação	80
57	constituição	80
58	veneração	79
59	administração	79
60	hesitação	79
61	descrição	76
62	recordação	75
63	significação	74
64	compensação	74
65	povoação	71
66	perturbação	71
67	adoração	70
68	continuação	69
69	navegação	69
70	reconciliação	68
71	comunicação	68
72	habitação	68
73	embarcação	68
74	instituição	67
75	exclamação	67
76	construção	67
77	animação	66
78	quietação	66
79	doação	63
80	exposição	63
81	recomendação	63
82	perdição	62
83	alteração	60
84	destruição	60
85	reiação	60
86	contradição	58
87	organização	58
88	tradução	58
89	informação	57
90	perseguição	57
91	sujeição	56
92	corrupção	56
93	presunção	54
94	aparição	53
95	formação	52
96	transformação	52
97	conspiração	52
98	aprovação	52
99	exaltação	51
100	dissimulação	51
101	pregação	50
102	confirmação	50
103	distração	50
104	moderação	50
105	devação	49
106	excitação	49
107	restauração	48
108	evolução	48
109	elevação	48
110	demonstração	47
111	operação	45
112	denominação	45
113	abnegação	45
114	realização	44
115	manifestação	44
116	abolição	43
117	encarnação	43
118	fundação	42
119	sedução	42
120	suposição	42
121	edição	41
122	meditação	41
123	mutação	41
124	nomeação	41
125	benção	41
126	recepção	41
127	desesperação	40
128	peregrinação	40
129	prevenção	39
130	fascinação	39
131	definição	39
132	repetição	39
133	proposição	38
134	afetação	38
135	vibração	38
136	redacção	37
137	aclamação	37
138	determinação	37
139	mortificação	37
140	extinção	37
141	interrupção	36
142	aproximação	35
143	combinação	35
144	correção	35
145	obstinação	35
146	atração	35
147	duração	35
148	distribuição	35
149	interrogação	34
150	negociação	34
151	irritação	34
152	especulação	34
153	aceitação	33
154	saudação	33
155	objeção	33
156	viração	33
157	ilustração	32
158	recreação	32
159	publicação	32
160	concepção	32
161	ligação	32
162	aspiração	31
163	condenação	31
164	reparação	31
165	restituição	30
166	dissolução	30
167	ostentação	30
168	afirmação	29
169	unção	29
170	irradiação	28
171	degradação	28
172	desconsolação	28
173	apresentação	28
174	exploração	28
175	concentração	28
176	punição	27
177	deliberação	27
178	absolvição	27
179	isenção	27
180	adulação	27
181	interpretação	26
182	terminação	26
183	ponderação	26
184	diminuição	26
185	desolação	25
186	edificação	25
187	iluminação	25
188	indicação	24
189	precipitação	24
190	produção	24
191	penetração	24
192	justificação	24
193	acusação	24
194	associação	24
195	intuição	23
196	contrição	23
197	protecção	23
198	preparação	23
199	emulação	23
200	circulação	23
201	introdução	22
202	intimação	22
203	murmuração	22
204	invocação	21
205	negação	21
206	prostração	21
207	profanação	21
208	reprodução	21
209	exageração	21
210	instalação	21
211	consternação	20
212	reprovação	20
213	privação	20
214	aquisição	20
215	decomposição	20
216	propagação	20
217	legislação	20
218	prostituição	19
219	cerração	19
220	inscrição	19
221	consagração	19
222	alimentação	19
223	alucinação	18
224	colaboração	18
225	decoração	18
226	congregação	18
227	provocação	18
228	insinuação	18
229	promoção	18
230	inundação	17
231	detenção	17
232	conformação	17
233	imposição	17
234	visitação	17
235	participação	17
236	entonação	17
237	sustentação	16
238	tribulação	16
239	complicação	16
240	abstração	16
241	exalação	16
242	regeneração	16
243	liquidação	16
244	fortificação	16
245	predição	15
246	evocação	15
247	palpitação	15
248	coroação	15
249	direcção	15
250	depravação	15
251	gestação	15
252	pronunciação	15
253	ondulação	15
254	colecção	15
255	afectação	15
256	conciliação	15
257	provação	15
258	estupefação	15
259	ordenação	14
260	comiseração	14
261	exibição	14
262	dominação	14
263	percepção	14
264	reformação	14
265	colocação	14
266	imigração	14
267	escrituração	14
268	legação	14
269	constipação	13
270	rotação	13
271	violação	13
272	relaxação	13
273	renovação	13
274	colonização	13
275	contração	13
276	oscilação	13
277	declinação	13
278	contestação	13
279	graduação	13
280	deserção	13
281	excepção	12
282	absorção	12
283	subordinação	12
284	limitação	12
285	reabilitação	12
286	designação	12
287	gratificação	12
288	derivação	12
289	carnação	12
290	reconstrução	12
291	carregação	12
292	importação	12
293	proclamação	12
294	acumulação	12
295	usurpação	12
296	subscrição	12
297	adaptação	12
298	apreciação	12
299	proibição	12
300	abdicação	12
301	citação	12
302	orientação	11
303	expiação	11
304	pontuação	11
305	cotação	11
306	cintilação	11
307	natação	11
308	dedução	11
309	vadiação	11
310	procriação	11
311	dilatação	11
312	estremeção	11
313	vexação	11
314	demolição	11
315	correcção	11
316	quitação	10
317	equivocação	10
318	filiação	10
319	autorização	10
320	pertenção	10
321	indagação	10
322	multiplicação	10
323	traducção	10
324	altercação	10
325	nutrição	10
326	libertação	10
327	confederação	10
328	creiação	10
329	conjuração	10
330	condução	10
331	antecipação	10
332	cação	9
333	substituição	9
334	redução	9
335	evaporação	9
336	glorificação	9
337	exprobração	9
338	classificação	9
339	alienação	9
340	ratificação	9
341	arrumação	9
342	imprecação	9
343	inquirição	9
344	exacerbação	9
345	procuração	9
346	exportação	9
347	purificação	9
348	labutação	9
349	armação	8
350	arribação	8
351	modificação	8
352	movimentação	8
353	suplicação	8
354	emanação	8
355	emigração	8
356	cooperação	8
357	comutação	8
358	predestinação	8
359	importunação	8
360	exasperação	8
361	revogação	8
362	instrucção	8
363	compunção	8
364	atrapalhação	8
365	abstenção	8
366	iniciação	8
367	consumação	8
368	jurdição	8
369	celebração	8
370	indenização	8
371	inchação	8
372	reclamação	8
373	fulguração	8
374	cessação	8
375	remuneração	7
376	logração	7
377	mistificação	7
378	encenação	7
379	lanção	7
380	contribuição	7
381	mastreiação	7
382	mobilização	7
383	transpiração	7
384	investigação	7
385	gesticulação	7
386	expectação	7
387	deminuição	7
388	simulação	7
389	arção	7
390	extrema-unção	7
391	eliminação	7
392	averiguação	7
393	inflamação	7
394	recriminação	7
395	transfiguração	7
396	apelação	7
397	votação	7
398	degeneração	7
399	desmoralização	7
400	abominação	7
401	acomodação	6
402	decifração	6
403	vacilação	6
404	exortação	6
405	deleitação	6
406	condensação	6
407	plantação	6
408	devastação	6
409	sucção	6
410	elaboração	6
411	abonação	6
412	asseveração	6
413	protestação	6
414	colação	6
415	argumentação	6
416	desaparição	6
417	dissertação	6
418	interpelação	6
419	premeditação	6
420	idealização	6
421	extração	6
422	personificação	6
423	prescrição	6
424	atracção	6
425	execração	6
426	declamação	6
427	rendição	6
428	fiscalização	6
429	dissipação	6
430	aglomeração	6
431	admoestação	6
432	crepitação	6
433	infecção	6
434	verificação	6
435	sublevação	6
436	floração	6
437	confrontação	5
438	baldeação	5
439	desconsideração	5
440	instrumentação	5
441	prolongação	5
442	pulverização	5
443	numeração	5
444	sobreexcitação	5
445	elocução	5
446	estagnação	5
447	enumeração	5
448	enfatuação	5
449	alternação	5
450	apuração	5
451	encadernação	5
452	habilitação	5
453	pulsação	5
454	entalação	5
455	impugnação	5
456	atarantação	5
457	delação	5
458	dispensação	5
459	espoliação	5
460	cogitação	5
461	lamentação	5
462	reverberação	5
463	difamação	5
464	ornamentação	5
465	desorganização	5
466	caracterização	5
467	fermentação	5
468	configuração	5
469	ebulição	5
470	constrição	4
471	tradicção	4
472	cristalização	4
473	instigação	4
474	circunspeção	4
475	bajulação	4
476	approvação	4
477	desafinação	4
478	conflagração	4
479	inspecção	4
480	inovação	4
481	acclamação	4
482	flagelação	4
483	condecoração	4
484	implantação	4
485	refutação	4
486	mareação	4
487	naturalização	4
488	indução	4
489	capitulação	4
490	imputação	4
491	contorção	4
492	falsificação	4
493	solicitação	4
494	agravação	4
495	faiscação	4
496	distracção	4
497	distincção	4
498	modulação	4
499	consolidação	4
500	seducção	4
501	locomoção	4
502	renunciação	4
503	reconstituição	4
504	transcrição	4
505	delegação	4
506	centralização	4
507	seriação	4
508	retração	4
509	demarcação	4
510	aclimação	4
511	turvação	4
512	divulgação	4
513	predisposição	4
514	retrospecção	4
515	comemoração	4
516	retribuição	4
517	variação	4
518	ablução	4
519	presumpção	4
520	esquipação	4
521	implicação	4
522	insubordinação	4
523	cansanção	4
524	parturição	4
525	introducção	4
526	reção	4
527	sussurração	4
528	amortização	4
529	computação	4
530	compreição	3
531	garção	3
532	extradição	3
533	maquinação	3
534	ventilação	3
535	improvisação	3
536	adopção	3
537	qualificação	3
538	remoção	3
539	transmutação	3
540	individuação	3
541	coabitação	3
542	despreocupação	3
543	coligação	3
544	retratação	3
545	abreviação	3
546	amolação	3
547	producção	3
548	avaliação	3
549	arrecadação	3
550	mineração	3
551	escavação	3
552	exterminação	3
