	token	type	hapaxes
1670	46320	5909	3208
1888	243740	29154	15358
1746	41618	6068	3412
1811	8952	2906	1967
1910	60223	10747	6363
1624	45743	9124	5634
1580	13378	3419	2130
1887	75765	13981	7581
1679	87232	14912	8612
1870	17221	5209	3325
1894	63953	12850	7635
1738	18714	3772	2324
1560	23520	6201	3855
1846	59905	11786	7310
1884	129206	17716	9739
1690	27941	4875	2801
1881	52805	10513	6369
1896	34919	7395	4450
1876	48250	8552	4916
1904	62684	9677	5455
1687	43431	5894	3297
1927	8776	3119	2010
1670	46320	5909	3208
1936	15873	3865	2367
1500	6857	1663	889
1642	7756	2184	1338
1865	25298	5508	3343
1652	45218	8462	5079
1862	40121	8197	4906
1735	14502	3094	1918
1921	45479	12973	8752
1657	10485	2749	1754
1857	93392	12187	6428
1777	59028	8845	4599
1899	57738	9285	5305
1891	67329	10756	6240
1852	52209	8370	4802
1586	6231	2225	1594
1540	44803	10569	6823
1548	41458	6832	3939
1632	44303	7683	4400
1901	64022	11762	7045
1556	45657	7995	4608
1882	174574	19826	10617
1905	47553	9629	6137
1918	11154	3375	2141
1875	188593	23038	12172
1590	15063	3162	1848
1733	17439	3742	2333
1895	77761	13100	7641
1902	134834	23995	13137
1655	9785	2340	1422
1619	45121	7161	3987
1900	93173	15114	8011
1856	4516	1606	1065
1893	52665	10315	6034
1510	39102	5811	3358
1576	19116	3761	2262
1948	43688	8865	5398
1855	15604	4083	2619
1883	54948	9409	5492
1844	40811	7461	4404
1752	46969	9175	6039
1572	48752	9051	4971
1885	19312	4214	2579
1630	7754	2266	1387
1705	1640	802	593
1737	33631	5720	3491
1641	22134	3972	2247
1734	17924	3604	2216
1920	42231	8413	5148
1650	30129	6253	3720
1915	57768	11127	6580
1640	7983	2351	1526
1878	207798	23765	12164
1522	109473	14530	8009
1736	48665	6781	3952
1890	69907	12034	6910
1778	21410	5255	3249
1872	44714	9388	5887
1760	48798	8505	4987
1691	7754	2266	1387
1633	21461	6121	4175
1908	44157	6698	3796
