	word	freq
0	sentimento	667
1	pensamento	648
2	movimento	641
3	entendimento	304
4	conhecimento	278
5	contentamento	176
6	merecimento	169
7	juramento	139
8	sofrimento	128
9	esquecimento	112
10	tratamento	110
11	estabelecimento	107
12	cumprimento	107
13	procedimento	104
14	arrependimento	101
15	reconhecimento	95
16	aborrecimento	88
17	regimento	87
18	acampamento	87
19	acontecimento	84
20	divertimento	77
21	agradecimento	77
22	atrevimento	76
23	abatimento	73
24	consentimento	69
25	desenvolvimento	66
26	acanhamento	61
27	rendimento	58
28	ressentimento	54
29	recolhimento	53
30	pagamento	50
31	requerimento	46
32	acompanhamento	45
33	impedimento	45
34	constrangimento	45
35	mantimento	41
36	rompimento	40
37	pressentimento	40
38	isolamento	40
39	estremecimento	37
40	desapontamento	37
41	ornamento	36
42	oferecimento	35
43	deslumbramento	34
44	aparecimento	34
45	ajuntamento	33
46	crescimento	32
47	fingimento	29
48	valimento	25
49	assentimento	24
50	vencimento	23
51	descobrimento	23
52	descontentamento	23
53	provimento	22
54	salvamento	22
55	adiantamento	22
56	encarecimento	22
57	acolhimento	21
58	cruzamento	21
59	afastamento	20
60	enternecimento	19
61	desdobramento	19
62	aniquilamento	19
63	entorpecimento	19
64	seguimento	18
65	relaxamento	17
66	arrebatamento	17
67	acatamento	16
68	melhoramento	16
69	aproveitamento	16
70	levantamento	16
71	encantamento	15
72	prolongamento	15
73	recebimento	14
74	desvanecimento	14
75	ferimento	14
76	acomodamento	14
77	carregamento	14
78	falecimento	13
79	julgamento	13
80	orçamento	13
81	restabelecimento	13
82	luzimento	13
83	povoamento	12
84	nacimento	12
85	esgotamento	12
86	encerramento	12
87	atordoamento	12
88	arrendamento	11
89	florescimento	11
90	retraimento	11
91	livramento	11
92	depoimento	11
93	saimento	11
94	enfraquecimento	11
95	aviltamento	11
96	desfalecimento	10
97	alojamento	10
98	agrupamento	10
99	fardamento	10
100	renascimento	10
101	desaparecimento	10
102	entrelaçamento	10
103	enfadamento	10
104	fornecimento	10
105	andamento	10
106	destacamento	10
107	regulamento	9
108	passamento	9
109	comportamento	9
110	medicamento	9
111	acometimento	9
112	açodamento	9
113	aperfeiçoamento	8
114	enterramento	8
115	mandamento	8
116	aviamento	8
117	ensinamento	8
118	acrescentamento	8
119	desprendimento	8
120	adormecimento	8
121	esmagamento	7
122	polimento	7
123	dissentimento	7
124	alinhamento	7
125	padecimento	7
126	equipamento	7
127	resfriamento	6
128	rebaixamento	6
129	armamento	6
130	desabamento	6
131	baralhamento	6
132	calçamento	6
133	recrutamento	6
134	desabrimento	6
135	esclarecimento	6
136	desvairamento	6
137	insulamento	6
138	transbordamento	5
139	espreguiçamento	5
140	defloramento	5
141	recenseamento	5
142	cometimento	5
143	vigamento	5
144	apuramento	5
145	fuzilamento	5
146	esvazamento	5
147	cozimento	5
148	crecimento	5
149	desmoronamento	5
150	perdimento	5
151	encanamento	5
152	estouvamento	5
153	acabamento	5
154	adiamento	5
155	encadeamento	4
156	embevecimento	4
157	apagamento	4
158	madeiramento	4
159	atravancamento	4
160	sortimento	4
161	estremunhamento	4
162	derramamento	4
163	revestimento	4
164	escapamento	4
165	discernimento	4
166	comprometimento	4
167	descaramento	4
168	desolamento	4
169	renunciamento	4
170	abastecimento	4
171	espingardeiamento	3
172	reviramento	3
173	apontamento	3
