	token	pos	lemma	text	year
8353	sobreexcitação	V	<unknown>	azevedo1890.txt	1890
15535	oração	V	<unknown>	guerreiro16th.txt	16th
29984	conhecimento	V	<unknown>	aires1752.txt	1752
30005	pensamento	V	<unknown>	aires1752.txt	1752
30009	documento	V	documentar	aires1752.txt	1752
30034	outrofundamento	V	<unknown>	aires1752.txt	1752
30035	contentamento	V	<unknown>	aires1752.txt	1752
30085	vencimento	V	<unknown>	aires1752.txt	1752
30133	aquêleconhecimento	V	<unknown>	aires1752.txt	1752
30647	fragmento	V	fragmentar	alencar1862.txt	1862
30726	juramento	V	juramentar	alencar1862.txt	1862
30758	ciumento	ADJ	ciumento	alencar1862.txt	1862
30948	eriçamento	V	<unknown>	alencar1875.txt	1875
31089	lamento	V	lamentar	alencar1875.txt	1875
31168	esvazamento	V	<unknown>	alencar1875.txt	1875
31261	documento	V	documentar	almeida1633.txt	1633
31277	ornamento	V	ornamentar	almeida1633.txt	1633
31293	ornamento	V	ornamentar	almeida1633.txt	1633
31647	lamento	V	lamentar	almeida1905.txt	1905
31648	lamento	V	lamentar	almeida1905.txt	1905
31683	juramento	V	juramentar	almeida1905.txt	1905
31686	ciumento	ADJ	ciumento	almeida1905.txt	1905
31713	lamento	V	lamentar	almeida1905.txt	1905
31721	juramento	V	juramentar	almeida1905.txt	1905
31729	ciumento	ADJ	ciumento	almeida1921.txt	1921
31763	documento	V	documentar	almeida1921.txt	1921
31789	reconditamento	V	<unknown>	almeida1921.txt	1921
31792	titubeamento	V	<unknown>	almeida1921.txt	1921
31806	esvaecimento	V	<unknown>	alves1870.txt	1870
32043	lamento	V	lamentar	azevedo1882b.txt	1882
32125	lamento	V	lamentar	azevedo1882.txt	1882
32338	esborraxamento	V	<unknown>	azevedo1884b.txt	1884
32390	lamento	V	lamentar	azevedo1884b.txt	1884
32808	ciumento	ADJ	ciumento	azevedo1890.txt	1890
32818	ciumento	ADJ	ciumento	azevedo1890.txt	1890
32861	lamento	V	lamentar	azevedo1894.txt	1894
33054	lamento	V	lamentar	azevedo1895.txt	1895
33078	documento	V	documentar	azevedo1895.txt	1895
33253	empertigamento	V	<unknown>	barreto1915.txt	1915
33347	compartimento	V	compartimentar	barreto1915.txt	1915
33348	acaparamento	V	<unknown>	barreto1915.txt	1915
33445	sacramento	V	sacramentar	barreto1915.txt	1915
33476	lamento	V	lamentar	barreto1920.txt	1920
33639	plenamento	V	<unknown>	barreto1920.txt	1920
33740	indumento	V	indumentar	barreto1948.txt	1948
33828	juramento	V	juramentar	barros1540.txt	1540
33892	argumento	V	argumentar	barros1540.txt	1540
33907	juramento	V	juramentar	barros1540.txt	1540
34120	achamento	V	<unknown>	caminha1500.txt	1500
34125	achamento	V	<unknown>	caminha1500.txt	1500
34127	achamento	V	<unknown>	caminha1500.txt	1500
34206	casamento	V	casamentar	caminha1893.txt	1893
34207	casamento	V	casamentar	caminha1893.txt	1893
34612	ornamento	V	ornamentar	camoes16th.txt	16th
34793	formento	V	<unknown>	chagas1687.txt	1687
34812	despimento	V	<unknown>	chagas1687.txt	1687
34828	augmento	V	<unknown>	costa1652.txt	1652
34845	augmento	V	<unknown>	costa1652.txt	1652
34852	suplemento	V	<unknown>	costa1652.txt	1652
34867	juramento	V	juramentar	costa1652.txt	1652
34875	fundamento	V	fundamentar	costa1652.txt	1652
34913	parlamento	V	parlamentar	costa1652.txt	1652
